Rua Tenente Joaquim Lopes Craveiro, Guarda, Concelho de Guarda
Rua de Caveiros, Fonte Boa e Rio Tinto, Esposende
Rua Romana, Santa Maria da Feira, Distrito de Aveiro
Travessa da Agoncida, Santa Maria da Feira, Distrito de Aveiro
Avenida António Henriques, São João da Madeira, Distrito de Aveiro
Avenida Benjamim Araújo, São João da Madeira, Distrito de Aveiro
Avenida da Liberdade, São João da Madeira, Distrito de Aveiro
Avenida da Misericórdia, São João da Madeira, Distrito de Aveiro
Avenida do Brasil, São João da Madeira, Distrito de Aveiro
Avenida do Vale, São João da Madeira, Distrito de Aveiro
Avenida dos Chapeleiros, São João da Madeira, Distrito de Aveiro
Avenida Doutor Afonso Coutinho, São João da Madeira, Distrito de Aveiro
Avenida Doutor Renato Araújo, São João da Madeira, Distrito de Aveiro
Avenida Manuel Viera Araújo, São João da Madeira, Distrito de Aveiro
Avenida Primeiro de Maio, São João da Madeira, Distrito de Aveiro
Largo Conde Dias Garcia, São João da Madeira, Distrito de Aveiro
Largo de Santo António, São João da Madeira, Distrito de Aveiro
Largo de São João, São João da Madeira, Distrito de Aveiro
Praça 25 de Abril, São João da Madeira, Distrito de Aveiro
Praça da República, São João da Madeira, Distrito de Aveiro
Praça Luís Ribeiro, São João da Madeira, Distrito de Aveiro
Rua 11 de Outubro, São João da Madeira, Distrito de Aveiro
Rua 16 Maio, São João da Madeira, Distrito de Aveiro
Rua 5 de Outubro, São João da Madeira, Distrito de Aveiro
Rua Adelino Amaro da Costa, São João da Madeira, Distrito de Aveiro
Rua Alão de Morais, São João da Madeira, Distrito de Aveiro
Rua Albano Martins, São João da Madeira, Distrito de Aveiro
Rua Almeida Garrett, São João da Madeira, Distrito de Aveiro
Rua António Aleixo, São João da Madeira, Distrito de Aveiro
Rua António José das Neves, São João da Madeira, Distrito de Aveiro
Rua António Luis da Costa, São João da Madeira, Distrito de Aveiro
Rua António Nicolau da Costa, São João da Madeira, Distrito de Aveiro
Rua António Nobre, São João da Madeira, Distrito de Aveiro
Rua António Sérgio, São João da Madeira, Distrito de Aveiro
Rua Antero de Quental, São João da Madeira, Distrito de Aveiro
Rua Bartolomeu Dias, São João da Madeira, Distrito de Aveiro
Rua Belmiro Silva, São João da Madeira, Distrito de Aveiro
Rua Benjamim Valente da Silva, São João da Madeira, Distrito de Aveiro
Rua Camilo Castelo Branco, São João da Madeira, Distrito de Aveiro
Rua Carolina Dias Garcia, São João da Madeira, Distrito de Aveiro
Rua Cerqueira Vasconcelos, São João da Madeira, Distrito de Aveiro
Rua Cesário Verde, São João da Madeira, Distrito de Aveiro
Rua Colombano, São João da Madeira, Distrito de Aveiro
Rua Comendador Raínho, São João da Madeira, Distrito de Aveiro
Rua Conde Dias Garcia, São João da Madeira, Distrito de Aveiro
Rua d e Guerra Junqueiro, São João da Madeira, Distrito de Aveiro
Rua da ADS, São João da Madeira, Distrito de Aveiro
Rua da Devesa Velha, São João da Madeira, Distrito de Aveiro
Rua da Fonte Cova, São João da Madeira, Distrito de Aveiro
Rua da Fundição, São João da Madeira, Distrito de Aveiro
Rua da Indústria, São João da Madeira, Distrito de Aveiro
Rua da Liberdade, São João da Madeira, Distrito de Aveiro
Rua da Lousã, São João da Madeira, Distrito de Aveiro
Rua da Mamoinha, São João da Madeira, Distrito de Aveiro
Rua da Mourisca, São João da Madeira, Distrito de Aveiro
Rua da Portela, São João da Madeira, Distrito de Aveiro
Rua da Quintã, São João da Madeira, Distrito de Aveiro
Rua da Restauração, São João da Madeira, Distrito de Aveiro
Rua da Volta, São João da Madeira, Distrito de Aveiro
Rua das Águas, São João da Madeira, Distrito de Aveiro
Rua das Fontaínhas, São João da Madeira, Distrito de Aveiro
Rua das Pedreiras, São João da Madeira, Distrito de Aveiro
Rua de Angola, São João da Madeira, Distrito de Aveiro
Rua de Arouca, São João da Madeira, Distrito de Aveiro
Rua de Cabo Verde, São João da Madeira, Distrito de Aveiro
Rua de Cucujães, São João da Madeira, Distrito de Aveiro
Rua de Fundões, São João da Madeira, Distrito de Aveiro
Rua de Fundo de Vila, São João da Madeira, Distrito de Aveiro
Rua de Macau, São João da Madeira, Distrito de Aveiro
Rua de Milheirós de Poiares, São João da Madeira, Distrito de Aveiro
Rua de Oliveira de Azeméis, São João da Madeira, Distrito de Aveiro
Rua de Olivença, São João da Madeira, Distrito de Aveiro
Rua de Ovar, São João da Madeira, Distrito de Aveiro
Rua de Santa Cruz, São João da Madeira, Distrito de Aveiro
Rua de Santa Maria da Feira, São João da Madeira, Distrito de Aveiro
Rua de Santo António, São João da Madeira, Distrito de Aveiro
Rua de São Francisco Xavier, São João da Madeira, Distrito de Aveiro
Rua de São Paulo, São João da Madeira, Distrito de Aveiro
Rua de São Tiago, São João da Madeira, Distrito de Aveiro
Rua de São Tomé, São João da Madeira, Distrito de Aveiro
Rua de Vale de Cambra, São João da Madeira, Distrito de Aveiro
Rua do Barroco, São João da Madeira, Distrito de Aveiro
Rua do Carquejido, São João da Madeira, Distrito de Aveiro
Rua do Condestável, São João da Madeira, Distrito de Aveiro
Rua do Dourado, São João da Madeira, Distrito de Aveiro
Rua do Douro, São João da Madeira, Distrito de Aveiro
Rua do Orreiro, São João da Madeira, Distrito de Aveiro
Rua do Parrinho, São João da Madeira, Distrito de Aveiro
Rua do Poder Local, São João da Madeira, Distrito de Aveiro
Rua do Sobreiral, São João da Madeira, Distrito de Aveiro
Rua do Tapado, São João da Madeira, Distrito de Aveiro
Rua do Vale do Vouga, São João da Madeira, Distrito de Aveiro
Rua Dom Afonso Henriques, São João da Madeira, Distrito de Aveiro
Rua Domingos José de Oliveira, São João da Madeira, Distrito de Aveiro
Rua dos Açores, São João da Madeira, Distrito de Aveiro
Rua dos Bombeiros Voluntários, São João da Madeira, Distrito de Aveiro
Rua dos Combatentes do Ultramar, São João da Madeira, Distrito de Aveiro
Rua dos Ribes, São João da Madeira, Distrito de Aveiro
Rua dos Sapateiros, São João da Madeira, Distrito de Aveiro
Rua Doutor Maciel, São João da Madeira, Distrito de Aveiro
Rua Doutor Sá Carneiro, São João da Madeira, Distrito de Aveiro
Rua Doutor Serafim Leite, São João da Madeira, Distrito de Aveiro
Rua Durbalino Laranjeira, São João da Madeira, Distrito de Aveiro
Rua Eça de Queirós, São João da Madeira, Distrito de Aveiro
Rua Enedina Garcia, São João da Madeira, Distrito de Aveiro
Rua Fernando Pessoa, São João da Madeira, Distrito de Aveiro
Rua Frederico Ulrich, São João da Madeira, Distrito de Aveiro
Rua Gil Vicente, São João da Madeira, Distrito de Aveiro
Rua Grupo Patriótico Sanjoanense, São João da Madeira, Distrito de Aveiro
Rua Guerra Junqueiro, São João da Madeira, Distrito de Aveiro
Rua Infante Dom Henrique, São João da Madeira, Distrito de Aveiro
Rua Infante Santo, São João da Madeira, Distrito de Aveiro
Rua Jaime Afreixo, São João da Madeira, Distrito de Aveiro
Rua Júlio Dinis, São João da Madeira, Distrito de Aveiro
Rua João da Silva Correia, São João da Madeira, Distrito de Aveiro
Rua João das Regras, São João da Madeira, Distrito de Aveiro
Rua João de Deus, São João da Madeira, Distrito de Aveiro
Rua Jornal O Regional, São João da Madeira, Distrito de Aveiro
Rua José Moreira, São João da Madeira, Distrito de Aveiro
Rua José Régio, São João da Madeira, Distrito de Aveiro
Rua José Soares da Silva, São João da Madeira, Distrito de Aveiro
Rua Luís de Camões, São João da Madeira, Distrito de Aveiro
Rua Luis de Camões, São João da Madeira, Distrito de Aveiro
Rua Maestro Rui Ferrão, São João da Madeira, Distrito de Aveiro
Rua Manuel Luís da Costa, São João da Madeira, Distrito de Aveiro
Rua Manuel Luís Leite Junior, São João da Madeira, Distrito de Aveiro
Rua Manuel Vieira Araújo, São João da Madeira, Distrito de Aveiro
Rua Manuel Viera Araújo, São João da Madeira, Distrito de Aveiro
Rua Mouzinho de Albuquerque, São João da Madeira, Distrito de Aveiro
Rua Nova do Arruamento, São João da Madeira, Distrito de Aveiro
Rua Oliveira Figueiredo, São João da Madeira, Distrito de Aveiro
Rua Oliveira Junior, São João da Madeira, Distrito de Aveiro
Rua Padre Cruz, São João da Madeira, Distrito de Aveiro
Rua Padre Oliveira, São João da Madeira, Distrito de Aveiro
Rua Pedra do Homem, São João da Madeira, Distrito de Aveiro
Rua Pedro Martins Palmares, São João da Madeira, Distrito de Aveiro
Rua Professor Egas Moniz, São João da Madeira, Distrito de Aveiro
Rua Professora Adosinda Valente, São João da Madeira, Distrito de Aveiro
Rua Roberto Ivens, São João da Madeira, Distrito de Aveiro
Rua São João de Brito, São João da Madeira, Distrito de Aveiro
Rua Soares dos Reis, São João da Madeira, Distrito de Aveiro
Rua Sophia de Mello Breyner, São João da Madeira, Distrito de Aveiro
Rua Teixeira de Pacoais, São João da Madeira, Distrito de Aveiro
Rua Vasco da Gama, São João da Madeira, Distrito de Aveiro
Rua Vieira da Silva, São João da Madeira, Distrito de Aveiro
Rua Visconde de São João da Madeira, São João da Madeira, Distrito de Aveiro
Rua Vitorino Lisboa, São João da Madeira, Distrito de Aveiro
Travessa Adelino Amaro da Costa, São João da Madeira, Distrito de Aveiro
Travessa António Nobre, São João da Madeira, Distrito de Aveiro
Travessa Comendador Rainho, São João da Madeira, Distrito de Aveiro
Travessa de São Francisco Xavier, São João da Madeira, Distrito de Aveiro
